Status,Ordertyp,WKN,Limit,Nom,ANom,Order_Value,Timestamp,JIM_Value,Spread_Prozentual,Target_Market_Count,Tradegate_Volume,Risk Score,Decision,Reasons,jim_risk,spread_risk,mp_risk,tgv_risk
Eingegeben,Limitiert,A41VS3,0.65,"10,000",,6500.0,2026-04-14 09:25:14.9180,1889.73,0.0556,1.0,1890.54,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,863731,38.5,,15,577.5,2026-04-14 09:28:10.5535,9860.820000000002,0.0054,4.0,9893.910000000002,1.286625,Automatic,All risk factors within automatic limits,0.231,0.54,0,0.515625
Ausgeführt,Limitiert,A12GD6,27.45,,28,768.6,2026-04-14 09:31:30.6272,0.0,0.0152,4.0,9836.3,12.37055,Automatic,All risk factors within automatic limits,10,1.6843,0,0.68625
Eingegeben,Limitiert,A12GD6,27.45,28,,768.6,2026-04-14 09:31:30.6272,0.0,0.0152,4.0,9836.3,12.37055,Automatic,All risk factors within automatic limits,10,1.6843,0,0.68625
Ausgeführt,Limitiert,A12GD6,27.45,,28,768.6,2026-04-14 09:31:30.6272,0.0,0.0152,4.0,9836.3,12.37055,Automatic,All risk factors within automatic limits,10,1.6843,0,0.68625
Eingegeben,Limitiert,863731,38.5,15,,577.5,2026-04-14 09:28:10.5535,9860.820000000002,0.0054,4.0,9893.910000000002,1.286625,Automatic,All risk factors within automatic limits,0.231,0.54,0,0.515625
Eingegeben,Limitiert,A2DJY1,3.1,"1,000",,3100.0,2026-04-14 09:23:26.1638,2958.515,0.0096,4.0,2961.6,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,A12GD6,27.45,28,,768.6,2026-04-14 09:31:30.6272,0.0,0.0152,4.0,9836.3,12.37055,Automatic,All risk factors within automatic limits,10,1.6843,0,0.68625
Eingegeben,Limitiert,A40QVT,16,"1,697",,27152.0,2026-04-14 09:22:14.8807,4980.75,0.0,4.0,4992.2,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,A1J85V,"1,320.00",,2,2640.0,2026-04-14 09:31:37.3646,24320.0,0.0078,4.0,25600.0,4.193142857142857,Automatic,All risk factors within automatic limits,1.056,0.7799999999999999,0,2.357142857142857
Ausgeführt,Limitiert,899744,54.55,,1,54.55,2026-04-14 09:31:05.6995,10696.25,0.0009,4.0,10750.0,0.16052535714285715,Automatic,All risk factors within automatic limits,0.02182,0.09,0,0.04870535714285714
Eingegeben,Limitiert,899744,54.55,1,,54.55,2026-04-14 09:31:05.6995,10696.25,0.0009,4.0,10750.0,0.16052535714285715,Automatic,All risk factors within automatic limits,0.02182,0.09,0,0.04870535714285714
Eingegeben,Limitiert,621975,6,300,,1800.0,2026-04-14 09:29:58.7376,0.0,0.0,0.0,0.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,A3C8LV,11.72,,170,1992.4,2026-04-14 09:28:48.0436,19987.83,-0.0057,5.0,20000.1,3.145888571428572,Automatic,All risk factors within automatic limits,0.79696,0.5700000000000001,0,1.7789285714285716
Eingegeben,Limitiert,A3C8LV,11.72,170,,1992.4,2026-04-14 09:28:48.0436,19987.83,-0.0057,5.0,20000.1,3.145888571428572,Automatic,All risk factors within automatic limits,0.79696,0.5700000000000001,0,1.7789285714285716
Gelöscht,Limitiert,A3DQCH,1.004,500,,502.0,2026-04-14 09:24:07.0124,2961.9269999999997,0.0014,3.0,2962.644,2.789014285714286,Automatic,All risk factors within automatic limits,0.2008,0.13999999999999999,2,0.4482142857142857
Eingegeben,Limitiert,A1J85V,"1,320.00",2,,2640.0,2026-04-14 09:31:37.3646,24320.0,0.0078,4.0,25600.0,4.193142857142857,Automatic,All risk factors within automatic limits,1.056,0.7799999999999999,0,2.357142857142857
Ausgeführt,Limitiert,852147,90.2,,35,3157.0,2026-04-14 09:26:50.4028,25325.3,0.0005,5.0,25416.0,4.13155,Automatic,All risk factors within automatic limits,1.2628,0.05,0,2.81875
Eingegeben,Limitiert,A0DJ0N,8.08,150,,1212.0,2026-04-14 09:24:00.3524,10122.332,0.0048,4.0,6726.4,2.0469428571428567,Automatic,All risk factors within automatic limits,0.4848,0.4799999999999999,0,1.082142857142857
Gelöscht,Limitiert,A0B733,0.265,"8,000",,2120.0,2026-04-14 09:28:42.3533,10015.0074,0.0052,4.0,10036.0,3.2608571428571427,Automatic,All risk factors within automatic limits,0.848,0.52,0,1.8928571428571428
Ausgeführt,Limitiert,890167,170.85,,105,17939.25,2026-04-14 09:29:29.1692,0.0,0.0028,5.0,6009.7,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,890167,170.85,105,,17939.25,2026-04-14 09:29:29.1692,0.0,0.0028,5.0,6009.7,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Gelöscht,Limitiert,A2N7XQ,0.797,"10,000",,7970.0,2026-04-14 09:29:45.6688,6771.731000000001,0.0205,5.0,1711.2,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,A3EH8Z,2.456,,"6,000",14736.0,2026-04-14 09:24:19.8147,3956.572,0.0152,4.0,3958.4525,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,A3EH8Z,2.456,"6,000",,14736.0,2026-04-14 09:24:19.8147,3956.572,0.0152,4.0,3958.4525,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,890167,170.85,,115,19647.75,2026-04-14 09:29:29.1692,0.0,0.0028,5.0,6009.7,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Teilausführung,Limitiert,A412UK,0.0048,"54,849","50,151",263.2752,,,,,,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,A412UK,0.004,,"50,000",200.0,,,,,,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
