WKN_Id;WKN;Timestamp;JIM_Value;Target_Market_Count;Present_Markets;Spread_Absolut;Spread_Prozentual;Best_Bid;Best Ask;Tradegate_Volume
102434;588811;2026-04-14 09:22:12.2774;10352.58;4;['SC1', 'LS1', 'F', 'TG'];0.11;0.0117;9.43;9.54;10362.0
102677;632305;2026-04-14 09:22:12.4092;10132.0;5;['SC1', 'LS1', 'F', 'TG', 'DE'];0.2;0.0029;68.0;68.2;10200.0
103939;878279;2026-04-14 09:22:12.5095;10121.0;4;['LS1', 'F', 'TG', 'SC1'];0.15;0.0052;29.0;29.15;10150.0
103908;874341;2026-04-14 09:22:12.6081;11770.85;5;['LS1', 'F', 'TG', 'SC1', 'DE'];0.15;0.0025;59.15;59.3;11830.0
103934;877738;2026-04-14 09:22:12.6468;10422.449999999999;5;['LS1', 'SC1', 'TG', 'F', 'DE'];0.05;0.0008;65.55;65.6;10488.0
104261;919964;2026-04-14 09:22:12.7487;5022.0;5;['LS1', 'F', 'TG', 'BB1', 'SC1'];0.15;0.004;37.2;37.35;5032.0
200082;922985;2026-04-14 09:22:12.8468;10639.35;4;['F', 'TG', 'LS1', 'DE'];0.0;0.0;10.7;10.7;3210.0
103852;870378;2026-04-14 09:22:12.9398;5017.2;3;['LS1', 'F', 'TG'];0.1;0.0067;14.85;14.95;5032.0
235548;852735;2026-04-14 09:22:13.1330;5086.400000000001;4;['LS1', 'F', 'TG', 'BB1'];0.15;0.0085;17.6;17.75;5104.0
200078;915210;2026-04-14 09:22:13.2388;5353.4;4;['SC1', 'LS1', 'F', 'TG'];0.4;0.0022;184.8;185.2;5538.0
200083;928900;2026-04-14 09:22:13.3490;9931.419999999998;5;['LS1', 'F', 'TG', 'DE', 'SC1'];0.08;0.0048;16.58;16.66;9947.999999999998
103606;852894;2026-04-14 09:22:13.5353;10018.58;5;['SC1', 'F', 'LS1', 'TG', 'DE'];0.1;0.004;24.86;24.96;10043.44
104067;893975;2026-04-14 09:22:13.6317;0.0;3;['LS1', 'F', 'BB1'];0.2;0.0704;2.84;3.04;0.0
404727;A0JLPR;2026-04-14 09:22:13.7420;3070.7400000000002;3;['LS1', 'TG', 'F'];0.04;0.0109;3.66;3.7;3074.4
281035;A0ET17;2026-04-14 09:22:13.8553;10557.6;4;['SC1', 'LS1', 'F', 'TG'];0.3;0.0045;66.4;66.7;10624.0
166808;892502;2026-04-14 09:22:13.9661;5029.2;3;['F', 'TG', 'LS1'];0.2;0.0039;50.8;51.0;5080.0
104089;897200;2026-04-14 09:22:14.0616;10243.539999999999;5;['LS1', 'F', 'TG', 'DE', 'SC1'];0.12;0.0028;42.86;42.98;10286.4
104037;890447;2026-04-14 09:22:14.1796;18507.0;4;['SC1', 'LS1', 'F', 'TG'];0.3;0.0032;93.0;93.3;9983.1
264599;907391;2026-04-14 09:22:14.2829;9899.199999999999;5;['SC1', 'F', 'LS1', 'TG', 'DE'];0.25;0.0068;36.8;37.05;9936.0
104278;922230;2026-04-14 09:22:14.3752;10191.6;4;['LS1', 'SC1', 'F', 'TG'];0.2;0.0029;68.5;68.7;10260.0
515673;A0JL31;2026-04-14 09:22:14.4066;3041.8399999999997;3;['LS1', 'F', 'TG'];0.08;0.0213;3.76;3.84;3045.6
256135;A0X9EJ;2026-04-14 09:22:14.4552;10089.779999999999;6;['SC1', 'LS1', 'TG', 'F', 'DE', 'BB1'];0.0;0.0;20.24;20.24;9328.800000000001
2545923;A2JN9W;2026-04-14 09:22:14.4953;5132.4;4;['LS1', 'F', 'SC1', 'TG'];0.12;0.0077;15.6;15.72;5148.0
2600135;A2PBHR;2026-04-14 09:22:14.5881;0.0;3;['F', 'LS1', 'DE'];0.14;0.0341;4.1;4.24;0.0
1811011;A3D5BK;2026-04-14 09:22:14.6811;0.0;3;['F', 'LS1', 'BB1'];0.18;0.0268;6.71;6.89;0.0
164989;A40QVT;2026-04-14 09:22:14.8807;4980.75;4;['F', 'LS1', 'TG', 'SC1'];0.0;0.0;11.45;11.45;4992.2
3400787;A40TC4;2026-04-14 09:22:14.9176;5997.48;4;['TG', 'LS1', 'SC1', 'DE'];0.5;0.0132;37.82;38.32;6035.2
394938;A0JML5;2026-04-14 09:22:14.9513;10240.75;5;['F', 'SC1', 'LS1', 'TG', 'DE'];0.15;0.0044;34.25;34.4;10275.0
1564550;A2DYJN;2026-04-14 09:22:14.9772;9804.9;5;['F', 'SC1', 'LS1', 'TG', 'DE'];0.3;0.0021;142.1;142.4;9947.0
878697;A2JKHY;2026-04-14 09:22:15.0040;1572.1200000000001;4;['LS1', 'F', 'SC1', 'TG'];0.08;0.005;15.88;15.96;1588.0
2025657;A2PMK5;2026-04-14 09:22:15.0278;0.0;1;['LS1'];1.5;0.0556;27.0;28.5;0.0
2817534;A2NB37;2026-04-14 09:22:15.1165;5126.549999999999;3;['LS1', 'F', 'TG'];0.15;0.0126;11.95;12.1;5138.5
649098;A0MUZU;2026-04-14 09:22:15.2115;3057.1200000000003;4;['LS1', 'TG', 'F', 'BB1'];0.12;0.0227;5.28;5.4;3062.4
1125353;A2PHG5;2026-04-14 09:22:15.3117;5901.3;5;['LS1', 'F', 'SC1', 'TG', 'DE'];1.0;0.0134;74.7;75.7;5299.0
1612111;A2N9MM;2026-04-14 09:22:15.4091;0.0;3;['LS1', 'F', 'BB1'];0.3;0.0219;13.7;14.0;0.0
2475168;A2PDU9;2026-04-14 09:22:15.5951;2599.128;2;['F', 'TG'];0.009;0.1417;0.0635;0.0725;2599.191
2329917;A119T1;2026-04-14 09:22:15.6915;0.0;1;['F'];0.09;0.6081;0.148;0.238;0.0
1355184;A2JJ6E;2026-04-14 09:22:15.7951;1774.0020000000002;4;['TG', 'BB1', 'LS1', 'F'];0.0198;0.126;0.1572;0.177;1774.1592
2211617;A2JHF9;2026-04-14 09:22:15.8192;0.0;2;['F', 'LS1'];0.03;0.0545;0.55;0.58;0.0
2199880;A14PRT;2026-04-14 09:22:16.0047;0.0;2;['F', 'LS1'];0.009;0.6716;0.0134;0.0224;0.0
388679;763858;2026-04-14 09:22:16.1107;4753.32;4;['TG', 'F', 'LS1', 'BB1'];0.04;0.0513;0.78;0.82;4754.1
228510;875366;2026-04-14 09:22:16.2309;3444.3579999999997;3;['LS1', 'TG', 'F'];0.0004;0.0211;0.019;0.0194;1197.5426
2064038;A0JMMZ;2026-04-14 09:22:16.4691;0.0;1;['TG'];0.0079;0.1001;0.0789;0.0868;2727.0207
1652472;A12FQM;2026-04-14 09:22:16.5028;5868.099999999999;4;['SC1', 'TG', 'LS1', 'F'];0.126;0.0217;5.81;5.936;5873.91
1892763;215419;2026-04-14 09:22:16.6388;596.7115;1;['TG'];0.0053;0.1377;0.0385;0.0438;596.75
517036;863617;2026-04-14 09:22:16.8290;2876.448;4;['TG', 'F', 'LS1', 'BB1'];0.018;0.0165;1.091;1.109;2877.531
933073;901652;2026-04-14 09:22:16.9297;0.0;1;['TG'];0.2;0.0071;28.2;28.4;5922.0
2002082;A1J2YC;2026-04-14 09:22:17.0467;4873.2;2;['BB1', 'TG'];0.2;0.0153;13.1;13.3;4886.3
1670180;A115FX;2026-04-14 09:22:17.2430;0.0;3;['TG', 'F', 'BB1'];0.015;0.0974;0.154;0.169;1064.0
701927;914928;2026-04-14 09:22:17.3373;;4;['TG', 'F', 'LS1', 'BB1'];0.02;0.0242;0.825;0.845;5835.224999999999
1131740;552832;2026-04-14 09:22:17.4387;0.0;1;['TG'];0.2;0.0116;17.2;17.4;6897.2
3282843;A3D4V6;2026-04-14 09:22:17.5275;5898.24;5;['LS1', 'TG', 'SC1', 'F', 'BB1'];0.285;0.0123;23.105;23.39;5921.28
1385790;A0M5PT;2026-04-14 09:22:17.6228;0.0;0;[];0.0;0.0;0.0;0.0;0.0
1357486;577578;2026-04-14 09:22:17.7236;0.0;2;['TG', 'BB1'];0.05;0.0083;5.991;6.041;5866.7
2566324;A12HVN;2026-04-14 09:22:17.8139;4602.356;2;['TG', 'F'];0.07;0.086;0.814;0.884;4603.17
125275;787896;2026-04-14 09:22:17.9098;4529.8188;2;['TG', 'F'];0.0046;0.0252;0.1822;0.1868;4530.0
340911;918412;2026-04-14 09:22:18.1009;0.0;1;['BB1'];0.12;0.0432;2.78;2.9;0.0
2987460;A2AC6W;2026-04-14 09:22:18.2162;0.0;0;[];0.0;0.0;0.0;0.0;0.0
771200;A0NGFS;2026-04-14 09:22:18.3147;0.0;3;['F', 'LS1', 'BB1'];0.05;0.0472;1.06;1.11;0.0
701057;916902;2026-04-14 09:22:18.3595;5878.400000000001;4;['LS1', 'TG', 'BB1', 'F'];0.4;0.0114;35.2;35.6;5913.6
1631843;A12E90;2026-04-14 09:22:18.4598;1979.9964;3;['F', 'TG', 'LS1'];0.0004;0.037;0.0108;0.0112;1599.9984
3241336;A0HGQB;2026-04-14 09:22:18.5828;0.0;2;['F', 'LS1'];0.7;0.0483;14.5;15.2;0.0
1034670;A0YE9R;2026-04-14 09:22:18.6133;0.0;2;['TG', 'BB1'];0.021;0.0363;0.578;0.599;4600.616999999999
2455905;A2P8DT;2026-04-14 09:22:18.6673;0.0;1;['LS1'];0.08;0.1028;0.778;0.858;0.0
1535143;A2ABRH;2026-04-14 09:22:18.7765;0.0;3;['TG', 'F', 'LS1'];0.014;0.1007;0.139;0.153;906.1410000000001
1627363;A0MWX3;2026-04-14 09:22:18.8777;0.0;3;['TG', 'F', 'LS1'];0.0124;0.0681;0.182;0.1944;3745.014
1322802;A1J9LC;2026-04-14 09:22:18.9056;5868.126;4;['TG', 'LS1', 'SC1', 'BB1'];0.054;0.0221;2.442;2.496;5870.568
608157;A0LE2R;2026-04-14 09:22:19.0638;0.0;1;['BB1'];0.024;0.1081;0.222;0.246;0.0
656040;919400;2026-04-14 09:22:19.1556;;2;['TG', 'BB1'];0.05;0.0074;6.8;6.85;2943.0
